薬品ｺｰﾄﾞ	ﾖﾐｶﾞﾅ	種	薬品名	規格	メーカー	棚番	薬価	購入価	在庫数	調整量	単位	①薬価金額	②購入金額	①－②	販売会社	厚生省ｺｰﾄﾞ
52149032F40247	ｱｰﾁｽﾄｼﾞ02	内	アーチスト錠２．５ｍｇ(ﾊﾞﾗ1錠)		第一三共	カセット､バラ	16.6	16.6	288	0	錠	4780.8	4780.8	0	第一三共	2149032F4020	4987081163007;
52149032F10201	ｱｰﾁｽﾄｼﾞ10	内	アーチスト錠１０ｍｇ(PTP1錠)		第一三共	茶	25.6	19.79	271	0	錠	6937.6	5363.09	1574.51	第一三共	2149032F1021	4987081202775;
51169001F10247	ｱｰﾃﾝｼﾞ02	内	アーテン錠（２ｍｇ）(ﾊﾞﾗ1錠)		ファイザー	カセット､バラ	8.8	7.48	107	0	錠	941.6	800.36	141.24	ファイザー	1169001F1024	4987114554604;
54291059F10201	ｱｰﾘｰﾀﾞ06	内	アーリーダ錠６０ｍｇ(PTP1錠)		ヤンセンファーマ	抗癌剤（１）	2290.1	2052.375	0	0	錠	0	0	0	ヤンセンファーマ	4291059F1029	4987672580466;
52171023F20202	ｱｲﾄﾛｰﾙ02	内	アイトロール錠２０ｍｇ(PTP1錠)		トーアエイヨー	茶	11	11	166	0	錠	1826	1826	0	トーアエイヨー	2171023F2020	4987142291212;
52171023F20248	ｱｲﾄﾛｰﾙ02	内	アイトロール錠２０ｍｇ(ﾊﾞﾗ1錠)		トーアエイヨー	カセット	11	11	382	0	錠	4202	4202	0	トーアエイヨー	2171023F2020	4987142291236;
54490016M10201	ｱｲﾋﾟｰﾃﾞ05	内	アイピーディカプセル５０　５０ｍｇ(PTP1Ｃ)		大鵬薬品	在庫なし	21.9	0	0	0	Ｃ	0	0	0	大鵬薬品	4490016M1023	4987117110128;
54490016R10247	ｱｲﾋﾟｰﾃﾞﾄﾞ	内	アイピーディドライシロップ５％(ﾊﾞﾗ1ｇ)		大鵬薬品	散剤引出し	35.7	27.18	120.8	0	ｇ	4312.56	3283.344	1029.216	大鵬薬品	4490016R1020	4987117110234;
61319761Q10201	ｱｲﾌｧｶﾞﾝﾃ0	外	アイファガン点眼液０．１％(本5mL)		千寿製薬	茶点眼､5ml/本	346.1	292.44	45	0	mL	15574.5	13159.8	2414.7	武田薬品	1319761Q1023	4987123154642;
52149118F20202	ｱｲﾐｸｽｴｲﾁ	内	アイミクス配合錠ＨＤ(PTP1錠)		住友ファーマ	茶劇	86.5	64.92	172	0	錠	14878	11166.24	3711.76	住友ファーマ	2149118F2026	4987116140133;
52149118F10202	ｱｲﾐｸｽｴﾙ	内	アイミクス配合錠ＬＤ(PTP1錠)		住友ファーマ	下劇	77.9	58.48	125	0	錠	9737.5	7310	2427.5	住友ファーマ	2149118F1020	4987116140096;
