JAN,在庫数,薬品名,棚番
4987123154642,25,アイファガン点眼液０．１％(本5mL),27-Ｌ
4987035018414,20,アクアチムクリーム１％(ﾁｭｰﾌﾞ10ｇ),19-Ｌ
4987123152228,9,アジルバ錠２０ｍｇ(PTP1錠),1-Ｂ
4987858100044,1809,アストミン錠１０ｍｇ(PTP1錠),""
4987858100068,870,アストミンシロップ０．２５％(ﾊﾞﾗ1mL),冷上
4987173017294,240,アズノールうがい液４％(本10mL),19-Ｂ
4987813704904,209,アスパラカリウム錠３００ｍｇ(PTP1錠),右
4987813704997,30,アスベリン散１０％(ﾊﾞﾗ1ｇ),粉棚た
4987028234685,28,アゼプチン錠１ｍｇ(PTP1錠),2-D
4987190092410,15,アダパレンゲル０．１％「ニプロ」(ﾁｭｰﾌﾞ15ｇ),事務1
4987770528803,528,アデホスコーワ顆粒１０％(分包1ｇ),2-E
4987104051014,72,アトルバスタチン錠５ｍｇ「ＺＥ」(PTP1錠),右
4987081184491,40,アマルエット配合錠４番「ＤＳＥＰ」(PTP1錠),1-A
4987888172097,18,アミティーザカプセル２４μｇ(PTP1Ｃ),2-G
4987171226100,68,アムバロ配合錠「ケミファ」(PTP1錠),右
4987901012904,117,アムロジピン錠２．５ｍｇ「ファイザー」(PTP1錠),劇1
4987901014403,76,アムロジピンＯＤ錠５ｍｇ「ファイザー」(PTP1錠),劇1
4987901014809,88,アムロジピンＯＤ錠１０ｍｇ「ファイザー」(PTP1錠),劇1
4987376011518,364,アモキシシリンカプセル２５０ｍｇ「日医工」(PTP1Ｃ),3-E
4987224004709,6,アラセナ－Ａ軟膏３％(ﾁｭｰﾌﾞ2ｇ),19-D
4987246752039,1,アラミスト点鼻液２７．５μｇ１２０噴霧用　５ｍｇ１０ｇ(ｷｯﾄ1ｷｯﾄ),28-M
4987246752015,15,アラミスト点鼻液２７．５μｇ５６噴霧用　３ｍｇ６ｇ(ｷｯﾄ1ｷｯﾄ),28-L
4987271005520,4,アルジオキサ顆粒５０％「ツルハラ」(ﾊﾞﾗ1ｇ),粉34
4987114936301,33,アルダクトンＡ錠２５ｍｇ(PTP1錠),1-H
4987080100218,106,アルプラゾラム錠０．４ｍｇ「サワイ」(PTP1錠),向
4987199100420,298,アレグラ錠６０ｍｇ(PTP1錠),3-C
4987188487006,131,アレサガテープ４ｍｇ(枚1枚),19-F
4987188487013,64,アレサガテープ８ｍｇ(枚1枚),19-H
4987084100672,70,アレジオン点眼液０．０５％(本5mL),19-G
4987084309044,55,アレジオンＬＸ点眼液０．１％(本5mL),19-I
4987057569628,344,アレロックＯＤ錠５　５ｍｇ(PTP1錠),3-D
4987057580678,1148.5,アレロック顆粒０．５％(分包0.5ｇ),粉
4987047120723,8,アローゼン顆粒(分包0.5ｇ),""
4987813739821,880,アロプリノール錠１００ｍｇ「タナベ」(PTP1錠),右
4987128303151,264,アンプラーグ錠１００ｍｇ(PTP1錠),他-１
4987343501509,1770,アンブロキソール塩酸塩錠１５ｍｇ「クニヒロ」(PTP1錠),3-G
4987120067402,673.44,アンブロキソール塩酸塩シロップ小児用０．３％「タカタ」(ﾊﾞﾗ1mL),冷､え
4987120120701,768.858,アンブロキソール塩酸塩ＤＳ小児用１．５％「タカタ」(ﾊﾞﾗ1ｇ),粉た
4987341109639,67,イグザレルト錠１５ｍｇ(PTP1錠),他1
4987123156554,140,イソソルビド内用液７０％分包３０ｍＬ「ＣＥＯ」(分包1包),25-K
4987081103003,4,イナビル吸入粉末剤２０ｍｇ(ｷｯﾄ1ｷｯﾄ),26-M
4987123158367,35,イニシンク配合錠(PTP1錠),4-A
4987123160551,18,イフェンプロジル酒石酸塩錠２０ｍｇ「あすか」(PTP1錠),3-I
4987271004752,100,イフェンプロジル酒石酸塩錠２０ｍｇ「ツルハラ」(PTP1錠),3-I
4987087042450,110,インチュニブ錠３ｍｇ(PTP1錠),劇1
4987376041317,32,ウルソデオキシコール酸錠１００ｍｇ「ＺＥ」(PTP1錠),右
4987035044611,140,ウレパールローション１０％(本20ｇ),事務1
4987123141437,90,エカード配合錠ＨＤ(PTP1錠),他1
4987116530217,86,エクア錠５０ｍｇ(PTP1錠),右
4987155154085,86,エスゾピクロン錠１ｍｇ「トーワ」(PTP1錠),他1
4987058087039,60,エスタゾラム錠１ｍｇ「アメル」(PTP1錠),向
4987222697415,1458,ＳＰトローチ０．２５ｍｇ「明治」(PTP1錠),26-J
4987124057812,56,エゼチミブ錠１０ｍｇ「ＴＣＫ」(PTP1錠),他1
4987080120018,279,エバスチンＯＤ錠１０ｍｇ「サワイ」(PTP1錠),4-C
4987116125611,245,エバステルＯＤ錠１０ｍｇ(PTP1錠),4-D
4987224033235,210,エパデールＳ６００　６００ｍｇ(ｽﾃｨｯｸ包1包),右
4987171649244,153,エピナスチン塩酸塩錠２０ｍｇ「ケミファ」(PTP1錠),4-E
4987123002073,185,エピナスチン塩酸塩点眼液０．０５％「センジュ」(本5mL),20-A
4987035076711,100,エビリファイ錠１ｍｇ(PTP1錠),劇1
4987173018291,9,エリザス点鼻粉末２００μｇ２８噴霧用　５．６ｍｇ(瓶1瓶),25-J
4987376320801,120,エルデカルシトールカプセル０．５μｇ「日医工」(PTP1Ｃ),劇1
4987080198116,70,エルデカルシトールカプセル０．７５μｇ「サワイ」(PTP1Ｃ),劇1
4987081188567,6,エレトリプタン錠２０ｍｇ「ＤＳＥＰ」(患者用PK1錠),劇1
4987035056416,500,塩化ナトリウム「オーツカ」(ﾊﾞﾗ1ｇ),粉
4987246718226,18,オーグメンチン配合錠２５０ＲＳ　３７５ｍｇ(PTP1錠),""
4987032023428,72,オースギ当帰芍薬散料エキスＴ錠(分包1錠),右
4987039424044,140,オノンカプセル１１２．５ｍｇ(PTP1Ｃ),""
4987123159906,30,オフロキサシン耳科用液０．３％「ＣＥＯ」　３ｍｇ(本5mL),20-B
4987222688574,72.36,オラペネム小児用細粒１０％　１００ｍｇ(ﾊﾞﾗ1ｇ),粉-そ
4987792295585,45,オルテクサー口腔用軟膏０．１％(ﾁｭｰﾌﾞ5ｇ),20-C
4987343503800,6546,オロパタジン塩酸塩錠５ｍｇ「クニヒロ」(PTP1錠),4-G
4987080006411,190,オロパタジン塩酸塩ＯＤ錠５ｍｇ「サワイ」(PTP1錠),4-H
4987155121131,461.5,オロパタジン塩酸塩顆粒０．５％「トーワ」(分包0.5ｇ),粉あ
4987447499016,155,オロパタジン点眼液０．１％「日新」(本5mL),20-D
4987650633306,4,カソデックス錠８０ｍｇ(PTP1錠),劇1
4987376020718,78,カモスタットメシル酸塩錠１００ｍｇ「日医工」(PTP1錠),他-1
4987792220617,3141,カルボシステイン錠２５０ｍｇ「ＪＧ」(PTP1錠),5-C
4987792220686,158,カルボシステイン錠２５０ｍｇ「ＪＧ」(ﾊﾞﾗ1錠),バラ
4987120223808,1079.01,カルボシステインＤＳ５０％「タカタ」(ﾊﾞﾗ1ｇ),粉-た
4987896070743,34,カロナール坐剤１００　１００ｍｇ(組5個),冷蔵庫
4987896030525,199.05,カロナール細粒２０％(ﾊﾞﾗ1ｇ),粉-せ
4987896010817,230,カロナール錠２００　２００ｍｇ(PTP1錠),5-E
4987896010978,338,カロナール錠５００　５００ｍｇ(PTP1錠),5-A
4987896010879,263,カロナール錠３００　３００ｍｇ(PTP1錠),5-F
4987123001601,85,カンデサルタン錠４ｍｇ「武田テバ」(PTP1錠),5-G
4987274139925,61,キネダック錠５０ｍｇ(PTP1錠),他-1
4987060006820,987,キプレス細粒４ｍｇ(ｽﾃｨｯｸ包1包),粉
4987060007087,399,キプレスチュアブル錠５ｍｇ(PTP1錠),5-H
4987222620932,220,クエチアピン錠１００ｍｇ「明治」(PTP1錠),劇-1
4987123875561,227,クエン酸第一鉄Ｎａ錠５０ｍｇ「ＮＩＧ」　鉄５０ｍｇ(PTP1錠),""
4987045650284,60,クラシエ乙字湯エキス細粒(ｽﾃｨｯｸ包3ｇ),漢方-4
4987045642074,291.6,クラシエ柴苓湯エキス細粒(ｽﾃｨｯｸ包2.7ｇ),右
4987045652844,1698,クラシエ小青竜湯エキス細粒(ｽﾃｨｯｸ包3ｇ),右
4987045642135,982.5,クラシエ辛夷清肺湯エキス細粒(ｽﾃｨｯｸ包2.5ｇ),右
4987045634192,404,クラシエ当帰芍薬散料エキス細粒(ｽﾃｨｯｸ包2ｇ),""
4987045643170,1105,クラシエ半夏白朮天麻湯エキス細粒(ｽﾃｨｯｸ包2.5ｇ),右
