JAN,在庫数,薬品名,棚番
4987081163007,288,アーチスト錠２．５ｍｇ(ﾊﾞﾗ1錠),カセット､バラ
4987081202775,271,アーチスト錠１０ｍｇ(PTP1錠),茶
4987114554604,107,アーテン錠（２ｍｇ）(ﾊﾞﾗ1錠),カセット､バラ
4987672580466,0,アーリーダ錠６０ｍｇ(PTP1錠),抗癌剤（１）
4987142291212,166,アイトロール錠２０ｍｇ(PTP1錠),茶
4987142291236,307,アイトロール錠２０ｍｇ(ﾊﾞﾗ1錠),カセット
4987117110128,0,アイピーディカプセル５０　５０ｍｇ(PTP1Ｃ),在庫なし
4987117110234,36.8,アイピーディドライシロップ５％(ﾊﾞﾗ1ｇ),散剤引出し
4987123154642,70,アイファガン点眼液０．１％(本5mL),茶点眼､5ml/本
4987116140133,272,アイミクス配合錠ＨＤ(PTP1錠),茶劇
4987116140096,125,アイミクス配合錠ＬＤ(PTP1錠),下劇
4987123000949,25,アイラミド配合懸濁性点眼液(本5mL),下点眼､5ml/本
4987288731252,0,亜鉛華（１０％）単軟膏「ヨシダ」(ﾊﾞﾗ1ｇ),軟膏棚
4987288730255,0,亜鉛華軟膏「ヨシダ」(ﾊﾞﾗ1ｇ),軟膏棚
4987035018414,20,アクアチムクリーム１％(ﾁｭｰﾌﾞ10ｇ),外用茶､10g/本
4987035015512,10,アクアチム軟膏１％(ﾁｭｰﾌﾞ10ｇ),外用下､10g/本
4987136119409,0,アクテムラ皮下注１６２ｍｇオートインジェクター　０．９ｍＬ(ｷｯﾄ1ｷｯﾄ),冷蔵庫上
4987213109101,40,アクトシン軟膏３％(ﾁｭｰﾌﾞ30ｇ),冷蔵庫ドア､30g/本
4987213109125,0,アクトシン軟膏３％(ﾁｭｰﾌﾞ200ｇ),冷蔵庫ドア､200g/本
4987123136273,255,アクトス錠１５　１５ｍｇ(PTP1錠),茶､PTP/ﾊﾞﾗ
4987123161534,88,アグリリンカプセル０．５ｍｇ(PTP1Ｃ),下劇
4987103012900,471,アコファイド錠１００ｍｇ(PTP1錠),茶､PTP/ﾊﾞﾗ
4987896000146,389,アザルフィジンＥＮ錠５００ｍｇ(PTP1錠),茶
4987080626015,149,アシクロビル錠２００ｍｇ「サワイ」(PTP1錠),下
4987103011743,74,アシノン錠１５０ｍｇ(PTP1錠),茶､PTP/ﾊﾞﾗ
4987123161213,12.5,アジマイシン点眼液１％(本2.5mL),在庫なし
4987123153263,403.5,アジルバ錠１０ｍｇ(PTP1錠),茶
4987123152228,306,アジルバ錠２０ｍｇ(PTP1錠),茶
4987123153317,228,アジルバ錠４０ｍｇ(PTP1錠),茶
4987213109040,20,アスタット外用液１％(本10mL),外用下､10ml/本
4987213109019,40,アスタットクリーム１％(ﾁｭｰﾌﾞ10ｇ),外用下袋､10g/本
4987173015818,60,アズノールうがい液４％(本5mL),外用下､5ml/本
4987173017294,160,アズノールうがい液４％(本10mL),外用茶､10ml/本
4987173016365,180,アズノール軟膏０．０３３％(ﾁｭｰﾌﾞ20ｇ),外用下､20g/本
4987813704904,21,アスパラカリウム錠３００ｍｇ(PTP1錠),茶､PTP/バラ
4987813704898,383.1,アスパラカリウム散５０％(ﾊﾞﾗ1ｇ),散剤下
4987813704867,629,アスパラ－ＣＡ錠２００(PTP1錠),茶
4987288300205,68.5,アスピリン「ヨシダ」(ﾊﾞﾗ1ｇ),散剤２
4987341104658,16,アスペノンカプセル２０　２０ｍｇ(PTP1Ｃ),下劇袋
4987813705017,117,アスベリン錠１０　１０ｍｇ(PTP1錠),下
4987813705048,0,アスベリン錠２０　２０ｍｇ(PTP1錠),下
4987813704997,96.7,アスベリン散１０％(ﾊﾞﾗ1ｇ),散剤２
4987813705093,331.9,アスベリンドライシロップ２％(ﾊﾞﾗ1ｇ),散剤
4987376043212,158.5,アゼルニジピン錠８ｍｇ「日医工」(PTP1錠),茶
4987376043311,183,アゼルニジピン錠１６ｍｇ「日医工」(PTP1錠),下
4987081185283,322,アゾセミド錠３０ｍｇ「ＤＳＥＰ」(PTP1錠),茶
4987443374577,5,アゾルガ配合懸濁性点眼液(本5mL),茶点眼､5ml/本
4987341102616,167,アダラートＣＲ錠１０ｍｇ(PTP1錠),茶劇
4987341103774,604,アダラートＣＲ錠２０ｍｇ(PTP1錠),茶劇
4987341107840,131,アダラートＣＲ錠４０ｍｇ(PTP1錠),茶劇､PTP/ﾊﾞﾗ
4987114347008,94,アタラックス錠１０ｍｇ(PTP1錠),茶
4987114347107,179,アタラックス－Ｐカプセル２５ｍｇ(PTP1Ｃ),下
4987114347602,0,アタラックス－Ｐドライシロップ２．５％(ﾊﾞﾗ1ｇ),散剤下
4987123404464,172,アテノロール錠２５ｍｇ「タイヨー」(PTP1錠),茶
4987080001218,100,アテノロール錠５０ｍｇ「サワイ」(PTP1錠),新規薬
4987114803603,0,アテノロール錠５０ｍｇ「ファイザー」(PTP1錠),下
4987770504609,666,アデホスコーワ腸溶錠２０　２０ｍｇ(PTP1錠),茶
4987770528803,681,アデホスコーワ顆粒１０％(分包1ｇ),分包棚5-3
4987224003207,152,アテレック錠１０　１０ｍｇ(PTP1錠),茶
4987224003245,2,アテレック錠１０　１０ｍｇ(ﾊﾞﾗ1錠),カセット
4987246745208,0,アドエア１００ディスカス６０吸入用　６０ブリスター(ｷｯﾄ1ｷｯﾄ),吸入
4987246745222,1,アドエア２５０ディスカス６０吸入用　６０ブリスター(ｷｯﾄ1ｷｯﾄ),吸入
4987246745246,1,アドエア５００ディスカス６０吸入用　６０ブリスター(ｷｯﾄ1ｷｯﾄ),""
4987954810120,148,アトーゼット配合錠ＬＤ(PTP1錠),下
4987173018192,27,アドシルカ錠２０ｍｇ(PTP1錠),不動在庫
4987274129957,389.2,アドソルビン原末(ﾊﾞﾗ1ｇ),散剤下
4987813702795,88,アドナ錠１０ｍｇ(PTP1錠),下
4987813702825,162,アドナ錠３０ｍｇ(PTP1錠),茶
4987042342014,0,アドフィードパップ４０ｍｇ　１０ｃｍ×１４ｃｍ(枚6枚),不動在庫､6枚/袋
4987190092700,28,アトモキセチン錠１０ｍｇ「ニプロ」(PTP1錠),下劇
4987104051014,312,アトルバスタチン錠５ｍｇ「ＺＥ」(PTP1錠),茶
4987104051113,324,アトルバスタチン錠１０ｍｇ「ＺＥ」(PTP1錠),茶､PTP/ﾊﾞﾗ
4987421121223,1,日点アトロピン点眼液１％　５ｍＬ(瓶1瓶),下劇点眼､5ml/本
4987170008295,97,アナストロゾール錠１ｍｇ「ＮＫ」(PTP1錠),抗癌剤（１）
4987274044656,71,アナフラニール錠１０ｍｇ(PTP1錠),下
4987274044687,195,アナフラニール錠２５ｍｇ(PTP1錠),下
4987246780025,3,アニュイティ１００μｇエリプタ３０吸入用(ｷｯﾄ1ｷｯﾄ),吸入
4987246770033,4,アノーロエリプタ３０吸入用(ｷｯﾄ1ｷｯﾄ),吸入
4987116140003,28,アバプロ錠５０ｍｇ(PTP1錠),下
4987199102677,0,アピドラ注ソロスター　３００単位(ｷｯﾄ1ｷｯﾄ),""
4987443333949,22,アフィニトール錠５ｍｇ(PTP1錠),抗癌剤（１）
4987246754019,87,アボルブカプセル０．５ｍｇ(PTP1Ｃ),茶劇
4987199100550,55.5,アマリール０．５ｍｇ錠(PTP1錠),茶劇
4987190066909,125,アマルエット配合錠４番「ニプロ」(PTP1錠),茶劇
4987080574118,92,アミオダロン塩酸塩錠１００ｍｇ「サワイ」(PTP1錠),毒薬
4987901110006,207,アミティーザカプセル１２μｇ(PTP1Ｃ),下
4987888172103,281,アミティーザカプセル２４μｇ(PTP1Ｃ),茶
4987376043021,242,アミノバクト配合顆粒　４．７４ｇ(分包1包),湿布棚横
4987035021001,650,アミノレバンＥＮ配合散(分包50ｇ),湿布棚横
4987376336017,276,アムバロ配合錠「日医工」(PTP1錠),茶劇
4987901012904,235,アムロジピン錠２．５ｍｇ「ファイザー」(PTP1錠),""
4987901013307,227,アムロジピン錠５ｍｇ「ファイザー」(PTP1錠),茶劇
4987447570012,0,アムロジピン錠１０ｍｇ「ＮＳ」(PTP1錠),""
4987447570050,0,アムロジピン錠１０ｍｇ「ＮＳ」(ﾊﾞﾗ1錠),""
4987060306456,625,アムロジピンＯＤ錠２．５ｍｇ「杏林」(PTP1錠),茶劇､PTP/ﾊﾞﾗ
4987060306487,1578,アムロジピンＯＤ錠５ｍｇ「杏林」(PTP1錠),茶劇
4987060306500,739,アムロジピンＯＤ錠５ｍｇ「杏林」(ﾊﾞﾗ1錠),カセット､ﾊﾞﾗ
4987440559014,286,アムロジピンＯＤ錠１０ｍｇ「ケミファ」(PTP1錠),茶劇
4987116155014,233,アムロジンＯＤ錠２．５ｍｇ(PTP1錠),茶劇
4987116155052,124,アムロジンＯＤ錠１０ｍｇ(PTP1錠),茶劇
4987116156585,72,アムロジン錠５ｍｇ(PTP1錠),茶劇
4987213110206,0,アメナリーフ錠２００ｍｇ(PTP1錠),下
4987124270525,145,アモキシシリンカプセル２５０ｍｇ「ＴＣＫ」(PTP1Ｃ),下
4987376553216,198,アモバン錠７．５　７．５ｍｇ(PTP1錠),茶向３０
4987224004723,40,アラセナ－Ａ軟膏３％(ﾁｭｰﾌﾞ5ｇ),外用下､5g
4987246752039,7,アラミスト点鼻液２７．５μｇ１２０噴霧用　５ｍｇ１０ｇ(ｷｯﾄ1ｷｯﾄ),点鼻､120噴霧
4987246752015,7,アラミスト点鼻液２７．５μｇ５６噴霧用　３ｍｇ６ｇ(ｷｯﾄ1ｷｯﾄ),点鼻､56噴霧
4987028211051,127,アリセプトＤ錠５ｍｇ(PTP1錠),茶劇
4987123063470,357,２５ｍｇアリナミンＦ糖衣錠(PTP1錠),茶あ､PTP/バラ
4987123127134,116,５０ｍｇアリナミンＦ糖衣錠(PTP1錠),下
4987080152217,77,アリピプラゾール錠３ｍｇ「サワイ」(PTP1錠),""
4987080154211,13,アリピプラゾール錠６ｍｇ「サワイ」(PTP1錠),下劇
4987376331821,323,アルサルミン細粒９０％(分包1ｇ),分包棚､5-4
4987376331913,1070,アルサルミン内用液１０％(分包10mL),分包棚5-5
4987114936301,269.5,アルダクトンＡ錠２５ｍｇ(PTP1錠),茶､PTP
4987114937209,357,アルダクトンＡ錠２５ｍｇ(ﾊﾞﾗ1錠),カセット､バラ
4987123154970,190,アルタットカプセル７５ｍｇ(PTP1Ｃ),茶
4987188490617,0,アルピニー坐剤２００　２００ｍｇ(組5個),""
4987058171387,0,アルファカルシドール錠０．２５μｇ「アメル」(PTP1錠),茶劇
4987058172384,162,アルファカルシドール錠０．５μｇ「アメル」(PTP1錠),茶劇
4987058173381,81,アルファカルシドール錠１．０μｇ「アメル」　１μｇ(PTP1錠),下劇
4987136157227,156,アルファロールカプセル０．２５μｇ(PTP1Ｃ),茶劇
4987136157241,122,アルファロールカプセル０．５μｇ(PTP1Ｃ),下劇
4987136117597,8.5,アルファロール散１μｇ／ｇ(分包0.5ｇ),散剤上劇
4987080100218,77,アルプラゾラム錠０．４ｍｇ「サワイ」(PTP1錠),向３－３０
4987087016246,0,アルメタ軟膏　０．１％(ﾁｭｰﾌﾞ5ｇ),""
4987040110271,4330,アルロイドＧ内用液５％(本600mL),冷蔵庫
4987199100420,168,アレグラ錠６０ｍｇ(PTP1錠),茶
4987084309044,60,アレジオンＬＸ点眼液０．１％(本5mL),茶点眼
4987116031455,14,アレビアチン錠１００ｍｇ(PTP1錠),茶
4987057569628,0,アレロックＯＤ錠５　５ｍｇ(PTP1錠),茶
4987057580678,100,アレロック顆粒０．５％(分包0.5ｇ),""
4987057580661,0,アレロック顆粒０．５％(ﾊﾞﾗ1ｇ),""
4987376710114,157,アレンドロン酸錠５ｍｇ「ＮＩＧ」(PTP1錠),下劇
4987376181914,29,アレンドロン酸錠３５ｍｇ「日医工」(患者用PK1錠),茶劇
4987047120723,366,アローゼン顆粒(分包0.5ｇ),分包棚5-1､0.5g分包
4987116140171,26,アロチノロール塩酸塩錠５ｍｇ「ＤＳＰ」(PTP1錠),下
4987116140218,67,アロチノロール塩酸塩錠１０ｍｇ「ＤＳＰ」(PTP1錠),下袋
4987080395010,190,アロプリノール錠５０ｍｇ「サワイ」(PTP1錠),下
4987171638187,193,アロプリノール錠１００ｍｇ「ケミファ」(PTP1錠),茶
4987114822000,105,アロマシン錠２５ｍｇ(PTP1錠),抗癌剤（１）
4987158145004,20,アンテベートクリーム０．０５％(ﾁｭｰﾌﾞ5ｇ),外用下劇
4987158145042,90,アンテベートクリーム０．０５％(ﾊﾞﾗ1ｇ),外用棚､バラ
4987158144007,155,アンテベート軟膏０．０５％(ﾁｭｰﾌﾞ5ｇ),外用茶劇､５Ｇ
4987158144045,260,アンテベート軟膏０．０５％(ﾊﾞﾗ1ｇ),外用棚１､バラ
4987158143215,160,アンテベートローション０．０５％(本10ｇ),外用茶劇､10G/本
4987888170345,0,アンヒバ坐剤小児用１００ｍｇ(組5個),冷蔵庫大
4987888170253,15,アンヒバ坐剤小児用２００ｍｇ(組5個),冷蔵庫大
4987123409261,155,アンブロキソール塩酸塩錠１５ｍｇ「タイヨー」(PTP1錠),下
4987104065011,357,アンブロキソール塩酸塩徐放ＯＤ錠４５ｍｇ「ＺＥ」(PTP1錠),茶
4987120067402,490,アンブロキソール塩酸塩シロップ小児用０．３％「タカタ」(ﾊﾞﾗ1mL),新規薬
4987116776714,17,アンペック坐剤１０ｍｇ(組5個),麻薬
4987116777414,10,アンペック坐剤３０ｍｇ(組5個),麻薬
4987700000058,0,イーケプラ錠２５０ｍｇ(PTP1錠),""
4987700000027,0,イーケプラ錠５００ｍｇ(PTP1錠),下
4987341109684,228,イグザレルト錠１０ｍｇ(PTP1錠),茶､PTPバラ
4987341109639,182,イグザレルト錠１５ｍｇ(PTP1錠),茶
